"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7"
"1","college","friend","family","temple","son","happiness","grandson"
"2","girlfriend","day","time","colleagues","daughter","define","granddaughter"
"3","exam","time","day","offsite","wife","emotional","grandchildren"
"4","summer","moment","played","stimulating","husband","wellbeing","roof"
"5","boyfriend","feel","dinner","wend","watched","research","hummingbird"
"6","graduation","life","hours","smartphone","found","psychological","prom"
"7","grade","game","school","iam","home","identify","teenage"
"8","semester","enjoyed","house","itas","kids","virtue","gas"
"9","accepted","job","mother","occasion","morning","philosophical","scholarship"
"10","class","home","love","bus","finally","concepts","grandchild"
"11","study","finally","night","wedding","night","economic","grandkids"
"12","school","watched","favorite","prayer","received","mental","occasion"
"13","test","event","spend","lifei","walk","flourishing","college"
"14","phone","nice","bought","replied","visit","religious","lecture"
"15","uncle","found","book","understood","dinner","tradition","looked"
"16","cat","started","told","hungary","nice","approaches","preach"
"17","hard","birthday","birthday","thekkady","cat","contentment","jelly"
"18","blissful","played","baby","pray","dog","judgements","leaking"
"19","favourite","girlfriend","free","experiential","lunch","reflect","lent"
"20","store","movie","didnt","superb","called","striven","policy"
"21","hours","sister","park","discussions","enjoyed","scientific","real"
"22","university","brother","delicious","lawn","feel","method","calf"
"23","live","dog","gift","lord","won","mommy","fuck"
"24","applied","received","phone","poor","day","toddler","hen"
"25","grandma","surprise","cooked","toddler","store","loan","raccoon"
"26","gift","finished","pay","coconut","friend","roti","cholesterol"
"27","internship","morning","hard","wayanad","car","baby","kulfi"
"28","degree","car","waiting","surely","talked","transition","boston"
"29","talked","talked","eat","trivia","started","martin","committee"
"30","professor","food","positive","completeyes","makes","biological","dumped"
